nikoniko_recipe_1,白菜,中4枚,豚ロース肉,薄切り100ｇ,長ねぎ,40ｇ,赤パプリカ,30ｇ,サラダ油,小さじ1,,,,,,,,,,,,
nikoniko_recipe_2,新米,2合,鶏もも肉,200g,舞茸,200g,ごぼう,70g,糸こんにゃく,150g,せり,30g,鶏がら,1羽分（なければ鶏がらの素）,片栗粉,大さじ１,,,,,,
nikoniko_recipe_3,そらまめ,200g ,たまねぎ,1/2個,黄パプリカ,1/4個,トマト,1/2個,ズッキーニ,1本,オリーブ油,小さじ2,,,,,,,,,,
nikoniko_recipe_4,山ウド,2本 　,桜えび,20ｇ,揚げ油,適量,天ぷら粉,1カップ,水,1カップ,,,,,,,,,,,,
nikoniko_recipe_5,こごみ,200g ,新玉ねぎ,80ｇ,ちくわ,2本,,,,,,,,,,,,,,,,
nikoniko_recipe_6,大根,300g,干し柿,3個,切りみつば,5本,むきくるみ,大さじ2,,,,,,,,,,,,,,
nikoniko_recipe_7,大豆,160g 　,生しいたけ,40ｇ,豚ひき肉,160ｇ,にんじん,40ｇ,たまねぎ,160ｇ,ピーマン,40ｇ,にんにく,10ｇ,カレールウ,60ｇ,塩・こしょう,少々,,,,
nikoniko_recipe_8,りんご,1個,薄力粉,120ｇ,卵,Ｌ4個,砂糖,120ｇ,バター,30ｇ,くるみ,少々,砂糖,大さじ1,サラダ油,少々,レモン汁,小さじ2,,,,
nikoniko_recipe_9,おくら,180g,菊,60ｇ,刺身いか,60ｇ,にんじん,10ｇ,にんじん,10ｇ,白しょうゆ,小さじ1,練りがらし,少々,,,,,,,,
nikoniko_recipe_10,トマト,1個,きゅうり,1本,玉ねぎ,１/2個,青じそ,5枚,みょうが,1個,,,,,,,,,,,,
nikoniko_recipe_11,きくらげ,200g ,たけのこ,100ｇ,アスパラガス,120ｇ,赤パプリカ,1/4個,ベーコン,40ｇ,ごま油,小さじ2,しょうがみじん切り,1/2かけ分,にんにくみじん切り,1/2かけ分,,,,,,
nikoniko_recipe_12,アスパラ菜,1束,ツナ缶,40ｇ,赤パプリカ,1/2個,えのき茸,小1株,卵,1個,ごま油,小さじ1/2,めんつゆ,小さじ2,練り辛子,少々,,,,,,
nikoniko_recipe_13,さつま芋,250ｇ,マカロニ,20ｇ,きゅうり,30ｇ,りんご,80ｇ,付け合せ,レタス、パセリなど,,,,,,,,,,,,
nikoniko_recipe_14,里芋,200ｇ,とり肉,80ｇ,人参,50ｇ,ごぼう,80ｇ,しいたけ,4枚,キャベツ,2枚,ねぎ,2本,いんげん、三つ葉など,適量,小麦粉,大さじ3,,,,
nikoniko_recipe_15,枝豆,100g,牛乳,200cc,かたくり粉,大さじ2・1/2,塩,少々,めんつゆ,大さじ1,水,大さじ1,わさび,少々,,,,,,,,
nikoniko_recipe_16,タラの芽　　,120g　,水煮タケノコ,80g,フキ,40g,ダイコン,60g,ニンジン,20g,レモン,少々,オリーブ油,大さじ1,塩,適量（下ごしらえ用）,,,,,,
nikoniko_recipe_17,豚モモ肉　,200g ,キャベツ,600g,パプリカ,1個,シメジ,100g,長ネギ,1/2本,板コンニャク,1枚,ショウガ,1かけ,小麦粉,適宜,スイートチリソース,大さじ4,,,,
nikoniko_recipe_18,山内にんじん　,100g,米粉ミックス,100g,卵黄,4個分,牛乳,100ml,砂糖,30g,サラダ油,大さじ4,バニラエッセンス,数滴,メレンゲ,(卵白4個分、砂糖50g),粉砂糖,少々,,,,
nikoniko_recipe_19,寒じめホウレンソウ　,100g　,ニンジン,50g,食用菊,20g,木綿豆腐,1/2丁,しらす干し,20g,白しょうゆ,大さじ1,白いりゴマ,小さじ1,,,,,,,,
nikoniko_recipe_20,シイタケ　,100g ,エノキタケ,100g,シメジ,100g,ニンニク,1かけ,オリーブオイル,大さじ2,日本酒,大さじ1,しょう油,小さじ１,塩,小さじ1/5,コショウ・枝豆・食用菊・赤唐辛子,各少々,,,,
nikoniko_recipe_21,カボチャ　,160g 　,卵,2個,牛乳,300cc,ツナ缶,80g,おろしショウガ,少々,ミツバ,少々,,,,,,,,,,
nikoniko_recipe_22,キュウリ,2本 　,絹ごし豆腐,1/2丁,牛乳,200cc,無頭エビ,8尾,チキンコンソメ,1/2個,味噌,大さじ1,大葉,5枚,塩・酒・氷,適量,,,,,,
nikoniko_recipe_23,米,2合,トマトピューレジュース,190g,たまねぎ,1/4個,にんじん,1/3本,ベーコン,1枚,アスパラガス,4本,冷凍シーフードミックス,80g,コンソメ,小さじ１,塩・こしょう・酒,少々,,,,
nikoniko_recipe_24,鶏ひき肉,120ｇ,ナス,中4本,長ネギ,20cm,ニンニク,2かけ,青シソ,8枚,プチトマト,8個,パプリカ,1個,,,,,,,,
nikoniko_recipe_25,トマト,2個,サニーレタス,1/4個,クリームチーズ,100g,アーモンドスライス,少々,,,,,,,,,,,,,,
nikoniko_recipe_26,アスパラガス,8本,豚モモ肉,うす切り8枚,レタス,2枚,しいたけ,4個,いちご,4個,サラダ油,大さじ1,塩,小さじ1/2,こしょう,適量,しょうゆ,大さじ1,,,,
nikoniko_recipe_27,つぼみ菜,200g ,しめじ,80g,アサリむき身,80g,パスタ,400ｇ,オリーブ油,大さじ2,コンソメ,小さじ2,,,,,,,,,,
nikoniko_recipe_28,アスパラガス,8本,いぶりがっこ,5枚,卵,2個,ハム,4枚,マヨネーズ,大さじ2,酢,大さじ1,砂糖,お好みで少々,,,,,,,,
nikoniko_recipe_29,八木にんにく,200ｇ,濃口しょうゆ,360cc,米こうじ,200ｇ,ざらめ,200ｇ,,,,,,,,,,,,,,
nikoniko_recipe_30,なす,4本,トマト,1個,玉ねぎ,1/2個,小ネギ,3本,青じそ,2枚,みょうが,2個,,,,,,,,,,
nikoniko_recipe_31,枝豆,100g,水,400cc,牛乳,50cc,玉ねぎ,中1/2個,ジャガイモ,中1個,無塩バター,20g,コンソメ顆粒,小さじ3,塩,少々,こしょう,少々,,,,
nikoniko_recipe_32,モロヘイヤ,1束,大根,中1/2本,梅干し,小4個,ポン酢,大さじ4,ごま油,大さじ2,ボイルエビ,8尾,そうめん,100g*4,めんつゆ（3倍濃縮）,大さじ4,水,200cc,,,,
nikoniko_recipe_33,大根,1/4本,にんじん,1/4本,きゅうり,1本,砂糖,小さじ1/2,塩,1つまみ,酢,大さじ1,ツナ,1/2缶,しょうゆ,小さじ2,,,,,,
nikoniko_recipe_34,そば（乾）,500〜600g,木綿豆腐,1丁,しょうが,1かけ,パプリカ赤・黄,各1/4個,きぬさや,5枚,鶏ひき肉,80g,オリーブ油,大さじ2,,,,,,,,
nikoniko_recipe_35,切り餅,4個,鶏肉,120ｇ,まいたけ,40ｇ,しいたけ,小4個,三つ葉,20g,板かまぼこ,4切れ,だし汁（昆布・鰹節）,800cc,酒・薄口しょうゆ,大さじ2,みりん,小さじ1,塩,小さじ1/3,,
nikoniko_recipe_36,ホワイトアスパラガス,8本,にんじん,1本,コーン,120g,絹ごし豆腐,150g,パセリ,1g,卵,1個,バター,8g,とろけるチーズ,60g,顆粒コンソメ,大さじ1,塩,小さじ1/3,こしょう,少々
nikoniko_recipe_37,雪の下ニンジン,200g,玉ねぎ,100g,ごはん,80g,バター,20ｇ,水,400ｍｌ,牛乳,400ｍｌ,塩・こしょう,少々,生クリーム,適宜,固形コンソメ,1と1/2個,パセリみじん切り,少々,,
nikoniko_recipe_38,ふきのとう,200ｇ,シイタケ,8枚,長芋,300g,オリーブ油,大さじ1,くるみ,30g,,,,,,,,,,,,
nikoniko_recipe_39,春巻きの皮,4枚,アスパラ,4本,ベーコン,4枚,とろけるチーズ,15g,揚げ油,適量,,,,,,,,,,,,
